,train_loss,train_acc,time
0,2.1606968978066434,0.40581689765458423,6.548015117645264
1,1.7252386416961898,0.7714052505330491,6.560686111450195
2,1.6373771706115463,0.841917643923241,6.5958051681518555
3,1.5779402761825367,0.9035847547974414,6.55756402015686
4,1.5593237749803295,0.9148620735607675,6.4233598709106445
5,1.54996669076399,0.9214918710021321,6.522150754928589
6,1.5434255247939623,0.9273220948827292,6.558097839355469
7,1.5382745131246571,0.9310367803837953,6.465213060379028
8,1.5340186385457704,0.9348180970149254,6.544049978256226
9,1.530201075936177,0.9384661513859275,6.427670955657959
10,1.5267928742142374,0.941331289978678,6.429388999938965
11,1.523745077886561,0.9440964818763327,6.550379991531372
12,1.5210399674708401,0.9466950959488273,7.114814043045044
13,1.5185737234951338,0.9485940831556503,6.958662986755371
14,1.5162360021300407,0.9510094616204691,7.0033838748931885
15,1.5142407832877722,0.9523753997867804,6.935166835784912
16,1.5123198364080905,0.9538912579957356,6.846961736679077
17,1.5104192600829769,0.9557902452025586,7.034187078475952
18,1.5087105988947822,0.9574560234541578,7.04505181312561
19,1.5071551864589456,0.9585387793176973,6.803817987442017
