,train_loss,train_acc,time
0,1.7409954634048284,0.7700892857142857,7.2179059982299805
1,1.5461087995754885,0.9228411513859275,7.18173623085022
2,1.526176861354283,0.9404984008528785,7.310716390609741
3,1.5138617221480493,0.9517923773987207,7.137192010879517
4,1.5051843789594768,0.9597048240938166,7.167001008987427
5,1.4989594954417458,0.9659514925373134,7.225401163101196
6,1.493784598195985,0.9702991737739872,7.284613132476807
7,1.4902878361724332,0.9738805970149254,7.349660158157349
8,1.4869723396260601,0.9773287579957356,7.2198100090026855
9,1.4839755318312249,0.9801272654584222,7.313426971435547
