,train_loss,train_acc,time
0,2.25951648800612,0.1754397654584222,8.875039100646973
1,2.1596599344505685,0.2986407249466951,8.529003143310547
2,2.0707273446420618,0.40451759061833686,8.067352056503296
3,2.0518624405108534,0.4137126865671642,9.238296031951904
4,2.027035768352338,0.45245868869936035,9.454866170883179
5,1.987652919312784,0.4957189498933902,8.030116081237793
6,1.9733567594973518,0.5016824360341151,8.037802934646606
7,1.965899751003363,0.5068463486140725,7.8990678787231445
8,1.9616551692806072,0.5093616737739872,7.954760789871216
9,1.9653784281917726,0.5029151119402985,8.037869930267334
