,train_loss,train_acc,time
0,1.810275160300452,0.675606343283582,5.985377788543701
1,1.6320623367834193,0.8330390458422174,5.7926130294799805
2,1.6180194747219208,0.845682302771855,5.5919349193573
3,1.608498247193375,0.8543276918976546,5.801326751708984
4,1.6017386204144086,0.8608242270788913,5.66632604598999
5,1.5966646924201868,0.8658215618336887,5.64151406288147
6,1.593384064718096,0.8685867537313433,5.700168132781982
7,1.5908224184884192,0.8708022388059702,5.6183600425720215
8,1.5884238345536597,0.8731343283582089,5.680965900421143
9,1.5866535866438454,0.8747334754797441,5.509371042251587
