,train_loss,train_acc,time
0,1.7409954634048284,0.7700892857142857,7.708671808242798
1,1.5461087995754885,0.9228411513859275,7.23475193977356
2,1.526176861354283,0.9404984008528785,7.2388129234313965
3,1.5138617221480493,0.9517923773987207,7.095057964324951
4,1.5051843789594768,0.9597048240938166,7.111576080322266
5,1.4989594954417458,0.9659514925373134,7.197251081466675
6,1.493784598195985,0.9702991737739872,7.182610034942627
7,1.4902878361724332,0.9738805970149254,7.1625800132751465
8,1.4869723396260601,0.9773287579957356,8.432008981704712
9,1.4839755318312249,0.9801272654584222,8.139873027801514
